ID,MC3,MC4,MC5,MC1,MC2,Complaint,Pilot,Enrollment
1001,0,0,0,0,0,0,1,2/9/2019
1002,0,0,0,0,0,0,0,8/12/2020
1003,0,0,0,0,0,0,0,1/26/2020
1004,0,0,0,0,0,0,0,7/17/2020
1005,0,0,0,0,0,0,0,6/25/2020
1006,0,0,0,0,0,0,0,2/14/2020
1007,0,0,0,0,0,0,0,4/20/2019
1008,0,0,0,0,0,0,0,10/13/2019
1009,0,0,0,0,0,0,1,11/11/2019
1010,1,0,0,0,0,0,0,8/17/2020
1011,0,0,0,0,0,0,0,4/20/2019
1012,0,0,0,0,0,0,0,4/21/2020
1013,0,0,0,0,0,0,0,4/21/2020
1014,0,0,0,0,0,0,0,3/17/2019
1015,0,0,1,1,0,0,1,5/1/2019
1016,0,0,0,0,0,0,0,5/31/2019
1017,0,0,0,0,0,0,0,2/5/2019
1018,0,0,0,1,0,0,0,9/2/2019
1019,0,0,0,0,0,0,0,4/10/2019
1020,0,0,0,0,0,0,0,1/13/2019
1021,0,0,0,0,0,0,0,6/13/2019
1022,0,1,0,0,0,0,0,5/30/2019
1023,0,0,0,0,0,0,0,6/17/2020
1024,0,0,0,0,0,0,0,8/23/2019
1025,0,0,0,0,0,0,0,6/9/2019
1026,0,0,0,0,0,0,0,11/1/2019
1027,0,0,0,0,0,0,0,11/5/2019
1028,0,0,1,0,0,0,0,4/28/2020
1029,0,0,0,0,0,0,0,10/26/2020
1030,0,0,0,0,0,0,0,10/16/2019
1031,0,1,0,0,0,0,0,3/17/2019
1032,0,0,0,0,0,0,1,4/5/2019
1033,0,0,0,0,0,0,0,7/28/2019
1034,0,0,0,0,0,0,0,2/3/2020
1035,0,0,0,0,0,0,0,6/6/2020
1036,0,0,0,0,0,0,0,2/7/2020
1037,0,0,0,0,0,0,0,7/18/2020
1038,1,0,0,0,0,0,1,7/9/2019
1039,0,0,0,0,0,0,0,10/4/2019
1040,0,0,0,0,0,0,0,8/17/2019
1041,0,0,0,0,0,0,0,5/31/2019
1042,0,0,0,0,0,0,0,3/8/2020
1043,0,0,0,0,0,0,0,12/2/2020
1044,0,0,0,0,0,0,1,4/16/2019
1045,0,0,0,0,0,0,0,10/29/2019
1046,0,0,0,0,0,0,0,4/15/2019
1047,0,0,0,0,0,0,0,10/16/2020
1048,0,0,0,0,0,0,0,1/16/2019
1049,0,0,0,0,0,0,0,6/9/2019
1050,1,0,0,1,0,0,1,11/11/2020
1051,0,0,0,0,0,0,0,11/17/2019
1052,0,0,1,0,0,0,1,4/26/2019
1053,0,0,0,0,0,0,1,9/7/2019
1054,0,0,0,0,0,0,0,10/2/2020
1055,0,0,0,0,0,0,0,8/7/2020
1056,0,1,1,0,0,0,1,12/9/2019
1057,0,0,0,0,0,0,0,2/12/2019
1058,0,0,0,0,0,0,0,7/26/2019
1059,0,0,0,0,0,0,0,11/16/2019
1060,0,0,0,0,0,0,0,5/12/2020
1061,0,0,0,0,0,0,1,10/26/2019
1062,0,0,0,0,0,0,0,10/15/2020
1063,1,0,0,1,0,0,1,8/23/2020
1064,0,0,0,0,0,0,0,3/3/2020
1065,0,0,0,0,0,0,0,9/13/2019
1066,0,0,0,0,0,0,0,2/16/2019
1067,0,0,0,0,0,0,0,8/22/2019
1068,0,1,0,0,0,0,0,9/10/2019
1069,0,0,0,0,0,0,0,10/4/2020
1070,0,0,0,0,0,0,0,5/26/2019
1071,0,0,0,0,0,0,1,2/1/2019
1072,1,0,0,0,0,0,1,3/19/2019
1073,0,0,0,0,0,1,0,2/9/2020
1074,1,0,0,0,0,0,1,6/9/2019
1075,0,0,0,0,0,0,0,2/3/2019
1076,0,0,0,0,0,0,0,11/28/2019
1077,0,0,0,0,0,0,0,12/8/2019
1078,0,0,0,0,0,0,0,10/16/2019
1079,0,0,0,0,0,0,0,8/1/2020
1080,0,0,0,0,0,0,0,1/16/2020
1081,0,1,0,0,0,0,0,12/21/2019
1082,0,1,0,1,0,0,1,11/1/2020
1083,0,0,1,0,0,0,0,10/16/2020
1084,0,0,0,0,0,0,0,6/27/2020
1085,0,0,0,0,0,0,0,8/27/2020
1086,0,0,0,0,0,0,0,10/28/2020
1087,0,0,0,0,0,0,0,10/26/2020
1088,0,1,0,0,0,0,0,4/29/2019
1089,0,0,0,0,0,0,0,9/16/2019
1090,0,0,0,1,0,0,0,5/7/2020
1091,0,0,0,0,0,0,0,11/25/2019
1092,0,0,0,0,0,0,0,12/28/2019
1093,0,0,0,0,0,0,0,9/3/2020
1094,0,0,0,0,0,0,0,9/25/2019
1095,0,0,0,0,0,0,0,10/22/2019
1096,0,0,0,0,0,0,1,10/12/2020
1097,0,0,0,0,0,0,0,5/16/2020
1098,0,0,0,0,0,0,0,2/29/2020
1099,0,0,0,0,0,0,0,7/10/2019
1100,0,0,0,0,0,0,0,5/26/2019
1101,0,0,0,0,0,0,0,5/14/2019
1102,0,0,0,0,0,0,0,4/8/2020
1103,0,1,0,0,0,0,1,4/17/2019
1104,0,1,0,0,0,0,0,11/29/2020
1105,0,1,1,0,0,0,1,6/9/2019
1106,0,0,0,0,0,0,0,5/19/2019
1107,0,0,0,0,0,0,0,2/15/2020
1108,0,0,1,1,0,0,0,6/30/2020
1109,0,0,0,0,0,0,0,7/27/2019
1110,0,0,0,0,0,0,0,12/16/2019
1111,0,0,0,0,0,0,0,4/20/2020
1112,0,0,0,0,0,0,0,11/25/2019
1113,0,0,0,0,0,0,1,7/31/2020
1114,0,0,0,0,0,0,0,2/9/2020
1115,0,0,0,0,0,0,0,9/27/2019
1116,0,1,1,1,0,0,1,8/17/2019
1117,0,0,0,0,0,0,0,7/26/2019
1118,0,0,0,0,0,0,1,9/26/2019
1119,0,0,0,0,0,0,0,11/12/2020
1120,0,0,0,0,0,0,0,10/14/2020
1121,0,0,0,0,0,0,0,3/6/2020
1122,0,0,0,0,0,0,0,8/15/2019
1123,0,0,0,0,0,0,0,7/17/2020
1124,0,0,0,0,0,0,0,1/19/2020
1125,0,1,0,0,0,0,0,8/22/2019
1126,0,0,0,0,0,0,0,1/13/2019
1127,0,0,0,0,0,0,0,12/12/2019
1128,1,0,0,0,0,0,1,10/23/2020
1129,0,0,0,0,0,0,0,1/2/2020
1130,0,0,0,0,0,0,0,3/26/2019
1131,0,0,0,0,0,0,1,4/20/2020
1132,0,0,0,0,0,0,0,9/24/2019
1133,0,0,0,0,0,0,0,2/2/2020
1134,0,0,0,0,0,0,0,8/24/2019
1135,0,0,0,0,0,0,0,3/25/2019
1136,0,0,0,0,0,0,1,4/4/2019
1137,0,0,0,0,0,1,0,2/2/2020
1138,0,0,0,0,0,0,0,1/27/2019
1139,0,0,0,0,0,0,0,11/25/2020
1140,0,0,0,0,0,0,0,9/28/2020
1141,0,1,0,0,0,0,0,8/11/2020
1142,0,0,0,0,0,0,0,5/21/2019
1143,0,0,0,0,0,0,0,10/16/2020
1144,0,0,0,0,0,0,0,3/16/2019
1145,0,1,1,0,0,0,1,7/27/2019
1146,0,0,0,0,0,0,0,12/13/2019
1147,0,0,0,0,0,0,0,2/17/2020
1148,0,0,0,0,0,0,0,3/23/2020
1149,0,0,0,0,0,0,0,1/25/2020
1150,0,0,0,0,0,0,0,12/6/2019
1151,0,0,0,0,0,0,0,4/12/2019
1152,0,0,0,0,0,0,0,6/11/2020
1153,0,0,0,0,0,0,0,10/6/2019
1154,0,0,0,0,0,0,0,4/19/2020
1155,1,0,0,0,0,0,0,4/24/2020
1156,0,1,0,0,0,0,0,2/2/2020
1157,0,0,0,0,0,0,0,4/8/2020
1158,0,0,0,0,0,0,0,8/1/2020
1159,0,0,0,0,0,0,0,9/25/2020
1160,0,0,0,0,0,0,0,12/18/2019
1161,0,0,0,0,0,0,0,9/25/2020
1162,0,0,0,0,0,0,0,7/6/2020
1163,1,0,0,0,0,0,0,9/8/2020
1164,0,0,0,0,0,0,0,2/17/2019
1165,0,1,0,1,0,0,1,5/23/2019
1166,0,0,0,0,0,0,0,10/27/2020
1167,0,0,0,0,0,0,0,11/28/2020
1168,0,0,0,1,0,0,0,5/7/2020
1169,0,0,0,0,0,0,0,10/15/2020
1170,0,0,0,0,0,0,0,10/14/2020
1171,0,0,0,0,0,0,0,3/4/2020
1172,0,0,0,0,0,0,0,6/28/2020
1173,0,0,0,0,0,0,0,11/19/2020
1174,0,0,0,0,0,0,0,5/12/2019
1175,0,0,0,0,0,0,0,8/12/2020
1176,0,0,0,0,0,0,0,1/7/2020
1177,0,0,0,0,0,0,0,8/24/2019
1178,0,0,0,0,0,0,0,7/31/2019
1179,1,0,0,0,0,0,0,2/14/2019
1180,0,0,0,0,0,0,0,10/22/2019
1181,0,0,0,0,0,0,0,11/4/2019
1182,0,0,0,0,0,0,0,7/26/2019
1183,0,0,0,0,0,0,0,6/4/2020
1184,0,0,0,0,0,0,0,10/17/2020
1185,0,0,1,0,0,0,0,2/24/2020
1186,0,0,0,0,0,0,0,6/24/2019
1187,1,0,0,0,0,0,1,9/4/2020
1188,0,1,0,0,0,0,0,12/3/2020
1189,0,0,0,0,0,0,0,5/15/2020
1190,0,0,0,0,0,0,0,3/20/2020
1191,0,1,1,1,0,0,1,4/9/2019
1192,0,0,0,0,0,0,0,12/22/2019
1193,1,0,0,0,0,0,1,4/17/2019
1194,1,0,0,0,0,0,0,5/14/2020
1195,0,0,0,0,0,0,0,10/18/2019
1196,0,0,0,0,0,0,0,11/12/2020
1197,1,0,0,0,0,0,1,2/15/2019
1198,0,0,0,0,0,0,0,9/5/2019
1199,0,0,0,0,0,0,0,8/22/2020
1200,0,0,0,0,0,0,0,3/12/2019
1201,0,0,0,0,0,0,0,6/28/2019
1202,0,0,0,0,0,0,0,10/9/2019
1203,0,0,0,0,0,0,0,9/5/2020
1204,0,0,0,0,0,0,0,10/16/2020
1205,0,1,1,0,0,0,0,4/21/2020
1206,0,0,0,0,0,0,0,2/5/2020
1207,0,0,0,0,0,0,0,4/21/2019
1208,0,0,0,0,0,0,0,9/15/2020
1209,0,0,0,0,0,0,0,4/20/2020
1210,0,0,0,0,0,0,0,9/18/2020
1211,0,0,0,0,0,0,0,6/12/2019
1212,0,0,0,0,0,0,0,2/13/2019
1213,0,0,0,0,0,0,0,8/31/2019
1214,0,0,0,0,0,0,0,4/1/2019
1215,0,0,0,0,0,0,0,5/16/2019
1216,0,0,0,0,0,0,0,1/13/2019
1217,0,0,0,0,0,0,0,7/23/2020
1218,0,0,0,0,0,0,1,8/25/2019
1219,0,0,1,0,0,0,0,6/12/2019
1220,0,0,0,0,0,0,0,10/20/2019
1221,0,0,0,0,0,0,0,9/20/2020
1222,0,0,0,0,0,0,0,8/28/2019
1223,0,0,0,0,0,0,0,5/15/2020
1224,0,0,0,0,0,0,0,5/10/2020
1225,0,0,0,0,0,0,0,3/10/2020
1226,0,0,0,0,0,0,0,6/1/2020
1227,0,1,0,0,0,0,0,4/3/2020
1228,0,0,0,0,0,0,0,5/30/2019
1229,0,0,0,0,0,0,0,1/5/2020
1230,0,0,0,1,0,0,1,5/4/2020
1231,0,0,0,0,0,0,0,1/22/2019
1232,0,0,0,0,0,0,0,11/9/2020
1233,0,1,1,1,0,0,1,10/25/2019
1234,0,0,0,0,0,0,0,6/16/2019
1235,0,0,0,0,0,0,0,2/5/2019
1236,0,0,0,0,0,0,0,4/5/2019
1237,0,0,0,0,0,0,0,2/21/2020
1238,0,0,0,0,0,0,0,4/2/2020
1239,0,1,1,1,1,0,1,9/10/2019
1240,0,0,0,0,0,0,0,2/27/2019
1241,0,0,0,0,0,0,0,2/3/2019
1242,0,0,0,0,0,0,0,3/20/2019
1243,0,1,0,0,0,0,0,3/23/2019
1244,0,0,0,0,0,0,0,3/29/2019
1245,0,0,0,0,0,0,0,11/9/2019
1246,0,0,0,0,0,0,0,5/14/2020
1247,1,0,0,0,0,0,1,3/17/2019
1248,0,0,0,0,0,0,0,10/27/2019
1249,0,0,0,0,0,0,0,11/21/2020
1250,0,0,0,0,0,0,0,4/30/2019
1251,0,0,0,0,0,0,1,7/11/2019
1252,0,0,0,0,0,0,0,8/19/2019
1253,1,0,0,0,0,0,0,11/30/2020
1254,1,0,0,0,0,0,1,3/22/2019
1255,0,0,0,0,0,0,0,11/24/2019
1256,0,0,0,0,0,0,0,3/10/2020
1257,0,0,0,0,0,0,1,2/27/2019
1258,0,0,0,0,0,1,0,8/24/2020
1259,0,0,0,0,0,0,0,7/11/2020
1260,0,0,0,0,0,0,0,9/10/2020
1261,0,0,0,0,0,0,0,7/14/2019
1262,0,0,0,0,0,0,0,2/21/2020
1263,0,0,0,0,0,0,1,6/24/2019
1264,0,0,0,0,0,0,0,10/4/2020
1265,0,0,0,1,0,0,1,9/7/2019
1266,0,0,0,0,0,0,0,9/26/2019
1267,0,0,0,0,0,0,0,7/19/2019
1268,0,0,0,0,0,0,0,4/1/2019
1269,0,0,0,0,0,0,0,2/5/2019
1270,0,0,0,0,0,0,0,8/5/2020
1271,0,0,0,0,0,0,0,9/21/2020
1272,0,0,0,0,0,0,0,12/17/2019
1273,0,0,0,0,0,0,0,7/6/2019
1274,0,0,0,0,0,0,0,6/15/2019
1275,0,0,0,0,0,0,0,10/16/2020
1276,0,0,0,0,0,0,0,11/18/2019
1277,1,0,0,0,0,0,0,12/9/2019
1278,0,0,0,0,0,0,0,6/2/2020
1279,0,0,1,0,0,0,0,4/7/2019
1280,0,0,0,0,0,0,0,6/21/2020
1281,0,0,0,0,0,0,0,8/17/2019
1282,0,1,0,0,1,0,0,1/28/2019
1283,0,0,0,0,0,0,0,8/12/2019
1284,0,0,0,0,0,0,0,6/20/2019
1285,0,0,0,0,0,0,0,6/19/2019
1286,0,1,0,0,0,0,0,8/21/2020
1287,0,0,0,0,0,0,0,9/20/2020
1288,0,0,0,0,0,0,0,3/18/2020
1289,0,0,0,0,0,0,0,8/5/2020
1290,0,0,0,0,0,0,0,9/17/2020
1291,0,0,0,0,0,0,0,6/2/2020
1292,0,0,0,1,0,0,0,9/2/2019
1293,0,0,0,0,0,0,1,2/23/2019
1294,0,0,1,0,0,0,0,8/9/2020
1295,0,1,0,0,0,0,0,2/15/2020
1296,0,0,0,0,0,0,0,10/2/2019
1297,0,0,0,0,0,0,0,6/24/2020
1298,0,0,0,0,0,0,0,4/3/2020
1299,0,0,0,0,0,0,0,7/14/2019
1300,0,0,0,0,0,0,0,5/23/2020
1301,0,0,0,0,0,0,0,8/15/2020
1302,0,0,0,0,0,0,0,1/3/2020
1303,0,0,0,0,0,0,0,1/19/2019
1304,0,0,0,0,0,0,0,12/21/2019
1305,0,0,0,0,0,0,0,6/24/2019
1306,0,0,0,0,0,0,0,12/6/2019
1307,0,0,0,0,0,0,0,7/16/2020
1308,0,0,0,0,0,0,0,7/15/2019
1309,0,0,0,0,0,0,0,6/18/2019
1310,0,0,0,0,0,0,0,12/10/2019
1311,0,0,0,0,0,0,0,12/7/2019
1312,0,0,0,0,0,0,0,4/13/2020
1313,0,0,0,0,0,0,0,10/14/2019
1314,0,0,0,0,0,0,0,7/21/2019
1315,0,0,0,0,0,0,0,9/21/2019
1316,0,0,0,0,0,0,0,2/16/2020
1317,0,0,0,0,0,0,1,9/8/2019
1318,1,0,0,0,0,0,1,6/17/2019
1319,0,0,0,0,0,0,0,12/5/2019
1320,0,0,0,0,0,0,0,2/17/2019
1321,0,1,1,1,0,0,1,5/13/2019
1322,0,0,0,0,0,0,0,4/19/2019
1323,0,0,1,0,0,0,1,8/8/2019
1324,0,0,0,0,0,0,0,1/15/2019
1325,0,0,0,0,0,0,0,5/13/2020
1326,0,1,0,0,1,0,0,4/30/2019
1327,0,0,0,0,0,0,0,11/18/2019
1328,1,0,0,0,0,0,1,1/20/2020
1329,0,0,0,0,0,0,0,4/16/2020
1330,0,0,0,0,0,0,0,11/28/2019
1331,0,0,0,0,0,0,1,11/20/2020
1332,0,0,0,0,0,0,0,6/1/2019
1333,1,0,0,0,0,0,0,6/9/2020
1334,0,0,0,0,0,0,0,5/23/2020
1335,1,0,1,0,0,0,0,6/17/2019
1336,0,0,0,0,0,0,1,4/3/2020
1337,0,0,0,0,0,0,0,4/3/2019
1338,0,0,0,0,0,0,0,5/29/2019
1339,0,0,0,0,0,1,0,5/5/2020
1340,0,1,0,0,0,0,0,10/16/2019
1341,0,0,0,0,0,0,0,5/19/2019
1342,0,0,0,0,0,1,0,1/25/2020
1343,0,0,0,0,0,0,0,3/14/2020
1344,0,1,0,0,0,0,0,3/5/2019
1345,0,0,0,0,0,0,0,8/26/2020
1346,0,0,0,0,0,0,0,7/31/2020
1347,0,0,0,0,0,0,0,4/30/2019
1348,0,0,0,0,0,0,0,6/4/2019
1349,0,0,0,0,0,0,0,1/26/2019
1350,0,0,0,0,0,0,0,10/22/2019
1351,0,0,0,0,0,0,0,8/21/2019
1352,0,0,0,0,0,0,0,4/24/2019
1353,0,0,0,0,0,0,0,5/8/2019
1354,0,0,0,0,0,0,0,9/26/2020
1355,0,0,0,0,0,0,0,4/4/2019
1356,1,0,0,0,0,0,0,2/3/2020
1357,0,1,0,0,0,0,0,4/18/2019
1358,0,0,0,0,0,0,1,11/27/2019
1359,0,0,0,0,0,0,0,1/23/2019
1360,1,0,0,0,0,0,1,8/23/2019
1361,0,0,0,0,0,0,0,6/6/2019
1362,0,0,0,0,0,0,0,3/8/2020
1363,0,0,0,0,0,0,0,11/19/2019
1364,0,0,0,0,0,0,0,6/15/2019
1365,0,0,0,0,0,0,0,4/20/2020
1366,0,0,0,0,0,0,0,5/19/2019
1367,0,0,0,0,0,0,0,1/27/2019
1368,0,0,0,0,0,0,0,9/3/2020
1369,0,0,0,0,0,0,0,10/20/2019
1370,0,1,0,0,0,0,1,3/22/2020
1371,0,0,0,0,0,0,0,3/12/2019
1372,0,0,0,0,0,0,0,2/4/2019
1373,0,0,0,0,0,0,0,10/13/2019
1374,0,0,1,0,0,0,0,6/9/2020
1375,0,0,0,0,0,0,0,5/15/2020
1376,0,0,0,0,0,0,0,10/8/2020
1377,0,0,0,0,0,0,0,9/23/2019
1378,0,0,0,0,0,0,0,8/1/2020
1379,0,0,0,0,0,0,0,3/12/2020
1380,0,0,0,0,0,0,0,2/20/2019
1381,0,0,0,0,0,0,1,2/5/2019
1382,0,0,0,0,0,0,0,5/31/2019
1383,0,0,0,0,0,0,1,4/16/2019
1384,0,0,0,0,0,0,0,8/28/2019
1385,0,0,0,0,0,0,0,3/4/2019
1386,0,0,0,0,0,0,0,1/20/2020
1387,0,0,0,0,0,0,0,8/16/2019
1388,0,1,0,0,0,0,1,3/28/2020
1389,0,0,0,0,0,0,0,11/13/2020
1390,0,0,0,0,0,0,1,2/4/2019
1391,0,0,0,0,0,0,0,11/3/2020
1392,0,0,0,0,0,0,0,11/11/2019
1393,0,0,0,0,0,0,0,3/24/2019
1394,0,0,0,0,0,0,1,4/24/2019
1395,0,0,0,0,0,0,0,4/16/2019
1396,0,0,0,1,0,0,0,9/4/2019
1397,0,0,0,0,0,0,0,1/27/2019
1398,0,0,0,0,0,0,0,6/30/2019
1399,0,0,0,0,0,0,0,9/4/2020
1400,1,0,0,0,0,0,0,4/26/2020
1401,0,1,1,1,1,0,0,7/21/2020
1402,0,0,1,1,0,0,1,7/30/2019
1403,0,0,0,0,0,0,0,8/10/2019
1404,0,0,0,0,0,0,0,10/10/2020
1405,0,0,0,0,0,0,0,10/26/2020
1406,0,0,0,0,0,0,0,11/9/2020
1407,0,1,1,0,0,0,1,11/9/2019
1408,0,0,1,0,0,0,0,9/18/2019
1409,0,0,0,0,0,0,0,5/10/2020
1410,0,1,1,1,0,0,0,9/28/2020
1411,0,1,0,1,0,0,0,9/9/2020
1412,0,0,0,0,0,0,0,10/8/2020
1413,0,0,0,0,0,0,0,9/30/2019
1414,0,1,1,1,1,0,1,10/14/2019
1415,0,0,0,0,0,0,0,4/5/2019
1416,0,0,0,0,0,0,0,6/30/2019
1417,0,0,0,0,0,0,0,5/1/2020
1418,0,0,0,0,0,0,0,7/9/2020
1419,0,0,0,0,0,0,0,11/26/2019
1420,0,0,0,0,0,0,0,5/27/2020
1421,0,0,0,0,0,0,0,2/12/2020
1422,0,0,0,0,0,0,0,1/27/2020
1423,0,0,0,0,0,0,0,7/15/2019
1424,0,0,0,0,0,0,0,12/9/2019
1425,0,0,0,0,0,0,0,5/26/2020
1426,0,0,0,0,0,0,0,1/11/2020
1427,0,0,0,0,0,0,0,6/6/2019
1428,0,0,0,0,0,0,0,8/21/2020
1429,0,0,0,0,0,0,0,12/18/2019
1430,0,0,0,0,0,0,0,3/15/2020
1431,1,0,0,1,0,0,0,6/4/2020
1432,0,0,0,0,0,0,0,11/14/2019
1433,0,0,0,0,0,0,0,5/28/2020
1434,0,0,0,0,0,0,0,10/7/2019
1435,0,0,0,0,0,0,0,7/24/2019
1436,0,0,0,0,0,0,0,3/23/2020
1437,0,0,0,0,0,0,0,5/7/2020
1438,0,0,0,0,0,0,0,2/12/2019
1439,0,0,0,0,0,0,0,1/25/2019
1440,0,1,0,1,0,0,1,2/20/2019
1441,1,0,0,0,0,0,1,9/6/2019
1442,0,0,0,0,0,0,0,10/29/2020
